<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.08	01:12:00	6330.546	6331.031	6329.965	6329.965	30	0	170
2021.10.08	01:13:00	6330.163	6332.082	6330.028	6332.068	30	0	170
2021.10.08	01:14:00	6332.193	6332.620	6331.116	6331.583	30	0	170
2021.10.08	01:15:00	6331.562	6331.868	6331.073	6331.348	30	0	170
2021.10.08	01:16:00	6331.679	6332.283	6331.455	6332.210	30	0	170
2021.10.08	01:17:00	6332.442	6333.152	6332.268	6332.889	30	0	170
2021.10.08	01:18:00	6332.676	6332.697	6331.610	6332.154	30	0	170
2021.10.08	01:19:00	6332.241	6332.349	6331.541	6332.033	30	0	170
2021.10.08	01:20:00	6332.129	6332.809	6331.871	6332.809	30	0	170
2021.10.08	01:21:00	6332.789	6334.024	6332.590	6333.877	30	0	170
2021.10.08	01:22:00	6334.305	6334.810	6333.808	6334.161	30	0	170
2021.10.08	01:23:00	6334.246	6335.642	6334.246	6335.532	30	0	170
2021.10.08	01:24:00	6335.513	6335.748	6334.800	6335.488	30	0	170
2021.10.08	01:25:00	6335.507	6336.502	6335.383	6336.297	30	0	170
2021.10.08	01:26:00	6336.326	6336.526	6335.295	6335.905	30	0	170
2021.10.08	01:27:00	6335.884	6336.273	6335.446	6335.472	29	0	170
2021.10.08	01:28:00	6335.233	6336.011	6335.120	6335.694	29	0	170
2021.10.08	01:29:00	6335.610	6336.027	6335.387	6335.675	30	0	170
2021.10.08	01:30:00	6335.629	6335.811	6335.070	6335.318	30	0	170
2021.10.08	01:31:00	6335.635	6335.847	6334.883	6335.110	30	0	170
2021.10.08	01:32:00	6335.231	6335.595	6334.764	6335.493	30	0	170
2021.10.08	01:33:00	6335.342	6335.745	6334.814	6335.412	29	0	170
2021.10.08	01:34:00	6335.612	6335.915	6334.829	6335.185	30	0	170
2021.10.08	01:35:00	6334.943	6335.516	6334.461	6335.516	30	0	170
2021.10.08	01:36:00	6335.330	6335.529	6334.991	6335.282	29	0	170
2021.10.08	01:37:00	6335.466	6336.507	6335.426	6336.507	30	0	170
2021.10.08	01:38:00	6336.545	6336.637	6335.947	6336.281	30	0	170
2021.10.08	01:39:00	6336.372	6337.066	6336.372	6336.890	30	0	170
2021.10.08	01:40:00	6337.105	6337.105	6335.417	6335.782	30	0	170
2021.10.08	01:41:00	6335.885	6335.959	6334.149	6334.149	30	0	170
2021.10.08	01:42:00	6333.835	6333.835	6332.246	6332.259	30	0	170
2021.10.08	01:43:00	6332.344	6334.022	6332.286	6334.022	30	0	170
2021.10.08	01:44:00	6333.926	6334.028	6333.143	6333.154	30	0	170
2021.10.08	01:45:00	6333.236	6334.246	6333.236	6333.752	30	0	170
2021.10.08	01:46:00	6333.579	6334.230	6332.851	6333.652	30	0	170
2021.10.08	01:47:00	6333.733	6334.575	6333.141	6333.141	30	0	170
2021.10.08	01:48:00	6332.893	6333.212	6331.901	6332.522	29	0	170
2021.10.08	01:49:00	6332.673	6333.413	6332.397	6333.360	30	0	170
2021.10.08	01:50:00	6333.407	6334.224	6332.649	6332.649	30	0	170
2021.10.08	01:51:00	6332.529	6332.529	6331.176	6331.563	30	0	170
2021.10.08	01:52:00	6331.311	6332.682	6331.028	6332.543	30	0	170
2021.10.08	01:53:00	6332.788	6333.732	6332.788	6333.627	30	0	170
2021.10.08	01:54:00	6333.527	6333.752	6332.809	6333.569	30	0	170
2021.10.08	01:55:00	6333.052	6333.603	6332.665	6333.538	30	0	170
2021.10.08	01:56:00	6333.686	6333.980	6333.288	6333.849	30	0	170
2021.10.08	01:57:00	6333.665	6334.836	6333.665	6334.751	30	0	170
2021.10.08	01:58:00	6334.748	6334.748	6333.509	6334.324	30	0	170
2021.10.08	01:59:00	6334.611	6334.844	6334.295	6334.471	29	0	170
2021.10.08	02:00:00	6334.162	6334.280	6332.865	6332.866	30	0	170
2021.10.08	02:01:00	6333.092	6333.322	6332.060	6332.907	30	0	170
2021.10.08	02:02:00	6332.705	6333.367	6332.309	6332.866	30	0	170
2021.10.08	02:03:00	6332.577	6333.063	6332.475	6332.829	30	0	170
2021.10.08	02:04:00	6332.705	6333.122	6332.227	6333.102	30	0	170
2021.10.08	02:05:00	6333.345	6334.848	6333.345	6334.813	30	0	170
2021.10.08	02:06:00	6334.807	6335.360	6334.400	6335.360	29	0	170
2021.10.08	02:07:00	6335.414	6335.414	6333.652	6333.652	30	0	170
2021.10.08	02:08:00	6333.893	6334.292	6333.187	6333.842	30	0	170
2021.10.08	02:09:00	6333.656	6333.971	6332.699	6332.699	30	0	170
2021.10.08	02:10:00	6332.763	6332.763	6331.479	6331.578	30	0	170
2021.10.08	02:11:00	6331.440	6332.302	6330.965	6331.027	30	0	170
2021.10.08	02:12:00	6331.226	6331.226	6329.608	6329.882	30	0	170
2021.10.08	02:13:00	6329.837	6330.620	6329.253	6330.620	30	0	170
2021.10.08	02:14:00	6331.019	6331.019	6328.848	6328.848	30	0	170
2021.10.08	02:15:00	6328.787	6330.408	6328.718	6329.448	30	0	170
2021.10.08	02:16:00	6329.233	6329.233	6327.850	6328.117	30	0	170
2021.10.08	02:17:00	6327.792	6328.760	6326.933	6328.629	30	0	170
2021.10.08	02:18:00	6328.299	6328.668	6326.179	6326.443	30	0	170
2021.10.08	02:19:00	6326.511	6326.999	6325.969	6326.251	30	0	170
2021.10.08	02:20:00	6326.186	6326.318	6324.921	6324.921	30	0	170
2021.10.08	02:21:00	6324.871	6326.029	6324.578	6325.356	30	0	170
2021.10.08	02:22:00	6325.259	6325.259	6324.246	6324.756	30	0	170
2021.10.08	02:23:00	6324.802	6325.740	6324.564	6324.564	30	0	170
2021.10.08	02:24:00	6324.482	6325.408	6324.482	6324.745	30	0	170
2021.10.08	02:25:00	6324.694	6325.342	6324.251	6324.843	30	0	170
2021.10.08	02:26:00	6324.940	6325.698	6324.667	6325.139	29	0	170
2021.10.08	02:27:00	6325.126	6325.942	6324.883	6325.914	30	0	170
2021.10.08	02:28:00	6325.672	6326.196	6325.033	6326.149	30	0	170
2021.10.08	02:29:00	6326.154	6326.570	6325.696	6326.570	30	0	170
2021.10.08	02:30:00	6326.741	6326.757	6325.888	6326.239	29	0	170
2021.10.08	02:31:00	6326.145	6327.830	6326.006	6327.309	30	0	170
2021.10.08	02:32:00	6327.313	6328.611	6327.313	6328.359	30	0	170
2021.10.08	02:33:00	6328.459	6328.459	6327.544	6328.243	30	0	170
2021.10.08	02:34:00	6328.159	6329.511	6328.013	6329.511	30	0	170
2021.10.08	02:35:00	6329.295	6329.687	6328.967	6329.014	30	0	170
2021.10.08	02:36:00	6329.035	6329.877	6329.012	6329.290	29	0	170
2021.10.08	02:37:00	6329.514	6330.743	6329.443	6330.340	30	0	170
2021.10.08	02:38:00	6330.217	6330.217	6329.109	6329.109	30	0	170
2021.10.08	02:39:00	6329.174	6329.657	6328.879	6329.350	30	0	170
2021.10.08	02:40:00	6329.254	6330.548	6329.254	6329.656	30	0	170
2021.10.08	02:41:00	6329.589	6329.589	6328.303	6328.333	30	0	170
2021.10.08	02:42:00	6328.194	6329.352	6328.165	6329.136	30	0	170
2021.10.08	02:43:00	6329.213	6330.975	6329.213	6330.340	30	0	170
2021.10.08	02:44:00	6330.341	6330.819	6329.787	6329.787	30	0	170
2021.10.08	02:45:00	6329.811	6330.408	6329.576	6330.164	30	0	170
2021.10.08	02:46:00	6330.002	6330.556	6329.577	6329.900	30	0	170
2021.10.08	02:47:00	6330.246	6331.331	6329.700	6331.331	30	0	170
2021.10.08	02:48:00	6331.579	6331.778	6331.239	6331.680	30	0	170
2021.10.08	02:49:00	6331.563	6332.104	6330.833	6331.634	30	0	170
2021.10.08	02:50:00	6331.494	6332.278	6331.494	6332.106	29	0	170
2021.10.08	02:51:00	6332.226	6333.775	6331.940	6333.260	30	0	170
2021.10.08	02:52:00	6333.297	6333.395	6332.279	6332.279	30	0	170
2021.10.08	02:53:00	6332.331	6332.645	6331.753	6332.322	30	0	170
2021.10.08	02:54:00	6332.615	6334.325	6332.304	6334.311	30	0	170
2021.10.08	02:55:00	6334.233	6334.450	6332.733	6333.994	29	0	170
2021.10.08	02:56:00	6333.939	6333.939	6333.083	6333.806	30	0	170
2021.10.08	02:57:00	6333.680	6334.388	6333.575	6334.388	30	0	170
2021.10.08	02:58:00	6334.261	6334.435	6332.919	6333.904	30	0	170
2021.10.08	02:59:00	6333.911	6335.203	6333.640	6334.987	30	0	170
2021.10.08	03:00:00	6334.801	6335.696	6334.801	6335.323	30	0	170
2021.10.08	03:01:00	6335.285	6335.285	6333.209	6333.411	30	0	170
2021.10.08	03:02:00	6333.270	6334.040	6333.173	6333.200	29	0	170
2021.10.08	03:03:00	6333.165	6333.185	6331.853	6331.977	30	0	170
2021.10.08	03:04:00	6332.130	6332.471	6330.523	6330.925	30	0	170
2021.10.08	03:05:00	6331.031	6331.420	6330.725	6331.008	30	0	170
2021.10.08	03:06:00	6331.053	6331.511	6330.363	6330.926	30	0	170
2021.10.08	03:07:00	6330.993	6331.748	6330.622	6331.748	30	0	170
2021.10.08	03:08:00	6331.726	6332.767	6331.726	6332.722	30	0	170
2021.10.08	03:09:00	6332.681	6333.799	6332.681	6333.500	30	0	170
2021.10.08	03:10:00	6333.528	6333.663	6332.219	6332.265	30	0	170
2021.10.08	03:11:00	6331.907	6332.742	6331.907	6332.376	30	0	170
2021.10.08	03:12:00	6332.426	6333.534	6332.287	6333.344	30	0	170
2021.10.08	03:13:00	6333.527	6333.849	6332.696	6333.742	30	0	170
2021.10.08	03:14:00	6333.800	6334.491	6333.554	6334.491	30	0	170
2021.10.08	03:15:00	6334.357	6335.255	6333.941	6334.852	29	0	170
2021.10.08	03:16:00	6335.055	6335.205	6334.420	6335.027	30	0	170
2021.10.08	03:17:00	6335.058	6335.332	6334.348	6335.321	30	0	170
2021.10.08	03:18:00	6335.763	6336.205	6335.437	6335.930	30	0	170
2021.10.08	03:19:00	6335.889	6336.769	6335.767	6336.280	30	0	170
2021.10.08	03:20:00	6336.227	6338.551	6336.189	6338.138	30	0	167
2021.10.08	03:21:00	6338.191	6338.467	6337.215	6337.923	29	0	167
2021.10.08	03:22:00	6338.037	6338.515	6337.706	6337.798	30	0	167
2021.10.08	03:23:00	6337.650	6337.773	6337.003	6337.003	30	0	167
2021.10.08	03:24:00	6337.036	6339.479	6337.036	6339.416	30	0	167
2021.10.08	03:25:00	6339.396	6340.190	6339.396	6340.132	30	0	167
2021.10.08	03:26:00	6340.050	6340.703	6339.562	6339.773	30	0	167
2021.10.08	03:27:00	6339.721	6339.750	6339.166	6339.405	30	0	167
2021.10.08	03:28:00	6339.515	6341.137	6339.515	6341.029	30	0	167
2021.10.08	03:29:00	6341.147	6341.285	6340.268	6341.072	30	0	167
2021.10.08	03:30:00	6340.947	6341.785	6340.385	6341.365	30	0	167
2021.10.08	03:31:00	6341.330	6341.330	6338.864	6338.960	30	0	167
2021.10.08	03:32:00	6338.830	6340.038	6338.594	6339.939	30	0	167
2021.10.08	03:33:00	6340.199	6340.199	6337.855	6338.372	30	0	167
2021.10.08	03:34:00	6338.723	6338.854	6337.940	6338.134	30	0	167
2021.10.08	03:35:00	6338.063	6338.272	6336.950	6337.144	30	0	167
2021.10.08	03:36:00	6336.904	6336.917	6334.720	6335.188	30	0	167
2021.10.08	03:37:00	6335.134	6336.095	6334.852	6335.335	30	0	167
2021.10.08	03:38:00	6335.344	6336.591	6335.344	6336.581	30	0	167
2021.10.08	03:39:00	6336.442	6336.553	6335.545	6335.545	30	0	167
2021.10.08	03:40:00	6335.536	6338.682	6335.536	6338.682	30	0	167
2021.10.08	03:41:00	6338.751	6339.099	6337.049	6337.049	30	0	167
2021.10.08	03:42:00	6336.871	6337.533	6336.724	6337.132	30	0	167
2021.10.08	03:43:00	6337.336	6338.166	6337.336	6337.928	30	0	167
2021.10.08	03:44:00	6337.889	6338.442	6337.134	6337.249	30	0	167
2021.10.08	03:45:00	6337.252	6337.332	6336.219	6336.383	30	0	167
2021.10.08	03:46:00	6336.278	6336.339	6335.831	6335.955	30	0	167
2021.10.08	03:47:00	6335.793	6336.473	6335.613	6336.473	30	0	167
2021.10.08	03:48:00	6336.619	6337.077	6335.639	6336.723	30	0	167
2021.10.08	03:49:00	6336.536	6337.077	6335.715	6336.252	30	0	167
2021.10.08	03:50:00	6336.159	6336.999	6335.881	6335.881	30	0	167
2021.10.08	03:51:00	6335.882	6336.269	6335.344	6335.371	29	0	167
2021.10.08	03:52:00	6335.181	6335.298	6333.715	6334.041	30	0	167
2021.10.08	03:53:00	6333.938	6334.280	6332.266	6332.396	30	0	167
2021.10.08	03:54:00	6332.535	6332.535	6330.861	6330.973	30	0	167
2021.10.08	03:55:00	6331.007	6331.569	6330.503	6330.692	30	0	167
2021.10.08	03:56:00	6330.550	6331.219	6330.191	6331.219	30	0	167
2021.10.08	03:57:00	6330.997	6331.912	6330.997	6331.439	30	0	167
2021.10.08	03:58:00	6331.623	6332.432	6331.563	6331.876	30	0	167
2021.10.08	03:59:00	6332.214	6332.455	6331.575	6331.951	30	0	167
2021.10.08	04:00:00	6331.741	6333.437	6331.741	6333.186	30	0	167
2021.10.08	04:01:00	6333.459	6333.878	6332.181	6332.220	29	0	167
2021.10.08	04:02:00	6332.038	6332.039	6331.164	6331.968	30	0	167
2021.10.08	04:03:00	6331.929	6332.133	6331.086	6331.854	30	0	167
2021.10.08	04:04:00	6331.719	6331.859	6330.788	6330.981	30	0	167
2021.10.08	04:05:00	6331.021	6331.185	6330.345	6330.669	30	0	167
2021.10.08	04:06:00	6330.515	6331.241	6330.288	6330.821	30	0	167
2021.10.08	04:07:00	6330.990	6331.611	6330.860	6331.611	30	0	167
2021.10.08	04:08:00	6331.533	6333.094	6331.347	6332.873	30	0	167
2021.10.08	04:09:00	6332.957	6334.052	6332.868	6333.021	30	0	167
2021.10.08	04:10:00	6333.069	6333.069	6331.726	6332.385	30	0	167
2021.10.08	04:11:00	6332.587	6333.186	6331.446	6331.446	30	0	167
2021.10.08	04:12:00	6331.301	6331.609	6329.964	6329.964	30	0	167
2021.10.08	04:13:00	6329.729	6330.185	6329.431	6330.100	30	0	167
2021.10.08	04:14:00	6330.203	6330.330	6329.511	6329.819	30	0	167
2021.10.08	04:15:00	6329.987	6330.736	6329.761	6330.736	30	0	167
2021.10.08	04:16:00	6330.706	6331.486	6330.364	6331.486	30	0	167
2021.10.08	04:17:00	6331.163	6332.248	6330.704	6332.099	29	0	167
2021.10.08	04:18:00	6332.143	6333.765	6331.843	6333.420	30	0	167
2021.10.08	04:19:00	6333.210	6333.210	6332.205	6332.205	30	0	167
2021.10.08	04:20:00	6332.284	6332.284	6331.312	6331.386	29	0	167
2021.10.08	04:21:00	6331.532	6331.628	6329.964	6330.170	30	0	167
2021.10.08	04:22:00	6330.396	6331.044	6330.170	6330.187	30	0	167
2021.10.08	04:23:00	6330.167	6330.683	6330.027	6330.405	29	0	167
2021.10.08	04:24:00	6330.146	6332.484	6330.146	6332.270	30	0	167
2021.10.08	04:25:00	6332.359	6332.834	6331.944	6332.114	30	0	167
2021.10.08	04:26:00	6332.109	6333.332	6331.972	6333.332	29	0	167
2021.10.08	04:27:00	6333.189	6333.189	6331.672	6332.034	29	0	167
2021.10.08	04:28:00	6331.990	6332.649	6331.291	6332.649	30	0	167
2021.10.08	04:29:00	6332.596	6332.666	6331.840	6331.944	30	0	167
2021.10.08	04:30:00	6331.946	6332.876	6331.288	6331.288	30	0	167
2021.10.08	04:31:00	6331.132	6332.012	6330.216	6330.249	30	0	167
2021.10.08	04:32:00	6330.624	6330.854	6329.834	6330.203	30	0	167
2021.10.08	04:33:00	6330.153	6330.596	6329.619	6329.619	30	0	167
2021.10.08	04:34:00	6329.621	6329.666	6328.054	6328.331	30	0	167
2021.10.08	04:35:00	6328.759	6328.759	6328.090	6328.173	30	0	167
2021.10.08	04:36:00	6327.939	6328.153	6326.984	6327.868	29	0	167
2021.10.08	04:37:00	6327.726	6328.008	6327.109	6327.736	30	0	167
2021.10.08	04:38:00	6327.547	6327.729	6326.619	6326.619	29	0	167
2021.10.08	04:39:00	6326.751	6327.575	6326.730	6327.067	30	0	167
2021.10.08	04:40:00	6327.291	6327.742	6327.173	6327.452	30	0	167
2021.10.08	04:41:00	6327.509	6328.598	6327.509	6328.508	30	0	167
2021.10.08	04:42:00	6328.472	6328.897	6328.219	6328.458	30	0	167
2021.10.08	04:43:00	6328.387	6328.440	6327.462	6328.400	30	0	167
2021.10.08	04:44:00	6328.400	6330.143	6328.177	6330.143	30	0	167
2021.10.08	04:45:00	6330.038	6330.159	6329.551	6329.565	30	0	167
2021.10.08	04:46:00	6329.713	6330.790	6329.438	6330.131	30	0	167
2021.10.08	04:47:00	6330.126	6330.848	6330.084	6330.084	30	0	167
2021.10.08	04:48:00	6330.239	6330.737	6329.460	6329.809	30	0	167
2021.10.08	04:49:00	6329.724	6330.252	6329.268	6330.234	30	0	167
2021.10.08	04:50:00	6330.208	6330.208	6328.796	6329.162	30	0	167
2021.10.08	04:51:00	6329.109	6329.332	6328.105	6328.105	30	0	167
2021.10.08	04:52:00	6328.294	6328.489	6326.807	6326.807	30	0	167
2021.10.08	04:53:00	6326.895	6328.562	6326.639	6328.428	29	0	167
2021.10.08	04:54:00	6328.615	6329.102	6327.877	6329.087	30	0	167
2021.10.08	04:55:00	6329.074	6329.491	6327.880	6327.880	30	0	167
2021.10.08	04:56:00	6327.819	6328.324	6327.086	6328.195	30	0	167
2021.10.08	04:57:00	6328.342	6330.160	6328.342	6329.627	30	0	167
2021.10.08	04:58:00	6329.732	6330.195	6329.359	6329.538	30	0	167
2021.10.08	04:59:00	6329.393	6329.627	6328.252	6328.252	30	0	167
2021.10.08	05:00:00	6328.311	6329.553	6328.311	6329.286	30	0	167
2021.10.08	05:01:00	6329.387	6329.387	6328.550	6328.698	30	0	167
2021.10.08	05:02:00	6328.924	6329.209	6328.444	6329.152	30	0	167
2021.10.08	05:03:00	6329.066	6329.826	6328.660	6329.826	30	0	167
2021.10.08	05:04:00	6329.767	6330.013	6329.215	6329.519	30	0	167
2021.10.08	05:05:00	6329.475	6329.498	6327.992	6328.618	30	0	167
2021.10.08	05:06:00	6328.688	6328.725	6326.121	6326.121	30	0	167
2021.10.08	05:07:00	6326.008	6326.170	6325.146	6325.146	30	0	167
2021.10.08	05:08:00	6325.030	6326.080	6324.851	6325.887	30	0	167
2021.10.08	05:09:00	6325.960	6326.049	6325.217	6325.233	29	0	167
2021.10.08	05:10:00	6325.152	6325.152	6323.072	6323.112	30	0	167
2021.10.08	05:11:00	6323.285	6324.172	6323.027	6323.225	29	0	167
2021.10.08	05:12:00	6323.251	6323.680	6322.606	6322.942	30	0	167
2021.10.08	05:13:00	6323.194	6323.801	6323.142	6323.528	30	0	167
2021.10.08	05:14:00	6323.577	6324.873	6323.577	6324.873	30	0	167
2021.10.08	05:15:00	6324.936	6325.311	6323.829	6325.287	30	0	167
2021.10.08	05:16:00	6325.563	6326.155	6325.409	6325.585	30	0	167
2021.10.08	05:17:00	6325.879	6326.669	6325.753	6326.586	30	0	167
2021.10.08	05:18:00	6326.468	6326.806	6325.105	6325.453	30	0	167
2021.10.08	05:19:00	6325.362	6325.704	6325.202	6325.619	30	0	167
2021.10.08	05:20:00	6325.721	6325.994	6325.383	6325.753	30	0	167
2021.10.08	05:21:00	6325.762	6326.763	6325.762	6326.587	30	0	167
2021.10.08	05:22:00	6326.393	6327.061	6325.940	6327.061	30	0	167
2021.10.08	05:23:00	6327.130	6327.130	6325.223	6325.552	30	0	167
2021.10.08	05:24:00	6325.408	6325.940	6325.325	6325.653	30	0	167
2021.10.08	05:25:00	6325.756	6326.762	6325.071	6326.762	30	0	167
2021.10.08	05:26:00	6326.704	6327.195	6326.348	6326.837	30	0	167
2021.10.08	05:27:00	6326.792	6326.974	6326.257	6326.366	30	0	167
2021.10.08	05:28:00	6326.555	6326.840	6326.124	6326.468	30	0	167
2021.10.08	05:29:00	6326.489	6326.490	6324.934	6325.063	30	0	167
2021.10.08	05:30:00	6325.142	6326.122	6324.992	6326.122	30	0	167
2021.10.08	05:31:00	6326.116	6327.010	6326.116	6326.960	30	0	167
2021.10.08	05:32:00	6326.842	6327.639	6326.647	6327.639	30	0	167
2021.10.08	05:33:00	6327.668	6328.246	6327.545	6327.919	30	0	167
2021.10.08	05:34:00	6327.861	6329.234	6327.861	6329.124	30	0	167
2021.10.08	05:35:00	6329.273	6329.322	6327.813	6328.773	30	0	167
2021.10.08	05:36:00	6328.943	6329.287	6328.292	6328.445	30	0	167
2021.10.08	05:37:00	6328.416	6328.970	6327.755	6328.668	30	0	167
2021.10.08	05:38:00	6328.586	6329.298	6328.086	6329.298	30	0	167
2021.10.08	05:39:00	6329.282	6329.426	6327.742	6327.742	30	0	167
2021.10.08	05:40:00	6327.679	6327.877	6327.251	6327.576	30	0	167
2021.10.08	05:41:00	6327.584	6327.871	6326.496	6327.333	30	0	167
2021.10.08	05:42:00	6327.648	6327.681	6326.500	6326.667	30	0	167
2021.10.08	05:43:00	6326.513	6327.146	6326.188	6327.078	30	0	167
2021.10.08	05:44:00	6327.174	6327.287	6326.570	6326.721	29	0	167
2021.10.08	05:45:00	6326.706	6326.707	6325.975	6326.707	30	0	167
2021.10.08	05:46:00	6326.723	6326.894	6326.331	6326.719	30	0	167
2021.10.08	05:47:00	6326.685	6326.880	6325.908	6326.195	30	0	167
2021.10.08	05:48:00	6325.911	6327.145	6325.675	6326.953	29	0	167
2021.10.08	05:49:00	6326.893	6328.024	6326.893	6327.580	30	0	167
2021.10.08	05:50:00	6327.379	6327.445	6326.093	6326.630	30	0	167
2021.10.08	05:51:00	6326.653	6327.097	6325.720	6326.756	30	0	167
2021.10.08	05:52:00	6326.743	6326.760	6325.261	6325.978	30	0	167
2021.10.08	05:53:00	6325.883	6326.843	6325.387	6326.843	30	0	167
2021.10.08	05:54:00	6326.794	6326.794	6324.714	6324.920	30	0	167
